TOTAL_NUM,IS_FRAUD,source_template
734.33,False,template1
1357.49,True,template1
744.38,False,template1
967.02,True,template1
626.27,False,template1
444.46,False,template1
839.31,False,template1
647.37,False,template1
586.14,False,template1
452.82,False,template1
312.12,False,template1
334.06,False,template1
748.38,False,template1
291.69,False,template1
572.33,False,template1
641.71,True,template1
730.72,False,template1
1099.5,True,template1
1540.85,True,template1
406.86,False,template1
590.93,False,template1
410.09,False,template1
702.75,False,template1
649.68,False,template1
234.82,False,template1
774.65,False,template1
323.05,False,template1
1153.59,True,template1
232.64,False,template1
713.48,False,template1
644.88,False,template1
1981.5,True,template1
633.76,False,template1
1239.06,True,template1
1178.95,True,template1
284.5,False,template1
1376.27,True,template1
309.88,False,template1
575.33,False,template1
1084.41,True,template1
995.35,False,template1
302.24,False,template1
173.92,False,template1
289.8,False,template1
1241.73,True,template1
719.93,False,template1
691.32,False,template1
159.97,False,template1
622.53,False,template1
902.29,False,template1
692.28,False,template1
173.72,False,template1
515.97,False,template1
599.75,False,template1
981.41,False,template1
180.28,False,template1
497.31,True,template1
835.83,False,template1
238.81,False,template1
480.87,False,template1
190.81,False,template1
369.01,False,template1
316.95,False,template1
616.94,False,template1
810.02,False,template1
1153.71,True,template1
89.57,False,template1
839.38,False,template1
1305.31,True,template1
254.5,True,template1
630.2,False,template1
494.57,False,template1
488.97,False,template1
613.64,False,template1
176.69,False,template1
330.18,False,template1
1097.27,True,template1
328.29,False,template1
258.81,False,template1
205.29,False,template1
626.21,False,template1
973.61,False,template1
750.48,False,template1
620.64,False,template1
521.25,False,template1
694.09,False,template1
522.11,False,template1
535.57,False,template1
832.89,False,template1
676.89,False,template1
1210.29,True,template1
603.15,False,template1
387.02,False,template1
162.12,False,template1
1940.54,True,template1
228.17,False,template1
731.32,False,template1
407.92,False,template1
660.76,False,template1
254.59,False,template1
134.41,False,template1
153.53,False,template1
826.48,False,template1
851.11,False,template1
408.91,False,template1
704.36,False,template1
613.25,False,template1
868.42,False,template1
368.73,False,template1
493.97,False,template1
684.84,False,template1
1092.74,True,template1
107.48,False,template1
1071.89,True,template1
728.05,False,template1
931.09,False,template1
921.8,False,template1
749.16,False,template1
1355.93,True,template1
353.64,False,template1
540.78,False,template1
284.39,False,template1
494.84,False,template1
529.33,True,template1
1355.28,True,template1
1686.9,True,template1
391.86,False,template1
1129.93,True,template1
535.8,False,template1
935.35,False,template1
635.7,False,template1
100.16,False,template1
39.99,False,template1
316.48,False,template1
384.59,True,template1
767.53,False,template1
624.7,False,template1
891.06,False,template1
1268.41,True,template1
314.79,False,template1
258.76,False,template1
1123.7,True,template1
538.66,False,template1
857.43,False,template1
669.07,False,template1
608.33,False,template1
1481.07,True,template1
434.25,False,template1
358.57,False,template1
778.99,False,template1
324.84,False,template1
104.38,False,template1
468.28,False,template1
443.3,False,template1
294.9,False,template1
767.95,False,template1
610.54,True,template1
431.11,False,template1
606.06,False,template1
767.53,False,template1
343.2,False,template1
1327.22,True,template1
932.51,False,template1
418.78,False,template1
368.3,True,template1
644.2,False,template1
418.61,False,template1
1077.74,True,template1
491.07,False,template1
354.55,False,template1
413.55,False,template1
889.0,False,template1
1213.81,True,template1
437.0,False,template1
403.03,False,template1
310.52,False,template1
1296.85,True,template1
1170.45,True,template1
581.47,False,template1
1178.87,True,template1
754.12,False,template1
470.42,False,template1
298.82,True,template1
583.0,False,template1
442.41,False,template1
448.62,False,template1
535.46,False,template1
843.87,False,template1
291.44,False,template1
441.11,False,template1
873.58,False,template1
1201.22,True,template1
277.91,False,template1
566.61,False,template1
380.45,False,template1
221.61,False,template1
266.95,False,template1
819.74,False,template1
666.38,False,template1
654.51,False,template1
653.95,False,template2
739.31,False,template2
1107.09,True,template2
357.4,False,template2
37.88,False,template2
353.11,False,template2
571.42,False,template2
641.62,False,template2
1604.79,True,template2
735.94,False,template2
874.34,True,template2
388.72,False,template2
1204.13,True,template2
357.49,False,template2
702.66,False,template2
160.46,False,template2
469.42,False,template2
810.41,False,template2
502.79,False,template2
1013.63,True,template2
264.52,False,template2
921.29,False,template2
1266.64,True,template2
452.55,False,template2
292.41,False,template2
745.66,False,template2
713.69,False,template2
548.5,False,template2
509.13,False,template2
419.17,False,template2
362.01,False,template2
689.27,False,template2
455.08,False,template2
902.46,False,template2
1095.16,True,template2
1103.01,True,template2
342.65,False,template2
1005.47,True,template2
1383.11,True,template2
663.64,False,template2
766.13,False,template2
599.39,False,template2
780.36,False,template2
470.15,False,template2
266.96,False,template2
674.42,False,template2
282.68,False,template2
877.41,False,template2
748.41,False,template2
753.69,False,template2
1355.78,True,template2
455.14,False,template2
630.38,False,template2
470.7,False,template2
251.14,False,template2
318.93,False,template2
901.99,False,template2
510.58,False,template2
863.56,False,template2
731.66,False,template2
425.06,False,template2
446.89,False,template2
1009.21,True,template2
847.21,False,template2
176.74,False,template2
169.36,False,template2
603.95,False,template2
1313.06,True,template2
1018.83,True,template2
699.22,False,template2
56.58,False,template2
1083.92,True,template2
102.16,False,template2
442.15,False,template2
535.75,False,template2
924.79,False,template2
814.49,False,template2
530.95,False,template2
802.28,False,template2
699.24,False,template2
386.97,False,template2
1058.02,True,template2
1221.51,True,template2
149.52,False,template2
598.77,False,template2
861.43,False,template2
230.15,False,template2
190.13,False,template2
615.09,False,template2
691.96,False,template2
690.83,False,template2
250.19,False,template2
109.32,False,template2
323.82,False,template2
1132.46,True,template2
396.07,False,template2
619.62,False,template2
805.97,False,template2
395.84,False,template2
1303.57,True,template2
175.96,False,template2
1338.68,True,template2
958.74,False,template2
150.04,False,template2
1203.35,True,template2
1375.16,True,template2
505.0,False,template2
732.39,False,template2
719.07,False,template2
899.48,False,template2
405.95,False,template2
695.92,False,template2
1500.59,True,template2
666.12,False,template2
83.61,False,template2
638.03,False,template2
271.94,False,template2
140.61,False,template2
216.88,False,template2
929.5,False,template2
1008.53,True,template2
291.92,False,template2
237.4,False,template2
165.45,False,template2
379.16,False,template2
426.56,False,template2
344.54,False,template2
398.5,False,template2
648.55,False,template2
1022.24,True,template2
867.48,False,template2
1094.41,True,template2
1323.8,True,template2
822.61,False,template2
402.77,False,template2
160.0,False,template2
565.03,False,template2
886.37,False,template2
550.2,False,template2
316.32,False,template2
1513.53,True,template2
792.98,False,template2
238.45,False,template2
1001.16,True,template2
770.39,False,template2
461.05,False,template2
430.37,False,template2
378.01,False,template2
521.54,False,template2
423.08,False,template2
262.8,False,template2
857.01,False,template2
259.57,False,template2
330.45,False,template2
308.9,False,template2
339.3,False,template2
1502.92,True,template2
644.61,False,template2
1377.03,True,template2
244.49,False,template2
906.07,False,template2
538.7,False,template2
1160.13,True,template2
415.41,False,template2
640.13,False,template2
1077.65,True,template2
373.59,False,template2
761.92,False,template2
591.52,False,template2
244.71,False,template2
244.25,False,template2
571.63,False,template2
931.61,False,template2
344.97,False,template2
915.99,False,template2
722.52,False,template2
740.08,False,template2
371.64,False,template2
276.09,False,template2
439.64,False,template2
126.15,False,template2
735.41,False,template2
376.84,False,template2
230.53,False,template2
183.14,False,template2
1516.99,True,template2
241.96,False,template2
918.72,False,template2
236.28,False,template2
412.74,False,template2
160.38,False,template2
803.67,False,template2
103.89,False,template2
1372.28,True,template2
827.45,False,template2
285.98,False,template2
1732.31,True,template2
104.1,False,template2
546.93,False,template2
1325.35,True,template2
1377.77,True,template3
350.43,False,template3
126.98,False,template3
196.23,False,template3
1155.97,True,template3
1006.96,True,template3
527.93,False,template3
965.35,False,template3
704.62,False,template3
653.15,False,template3
682.56,False,template3
734.07,False,template3
782.76,False,template3
485.61,False,template3
277.64,False,template3
33.58,False,template3
348.35,False,template3
280.45,False,template3
1179.52,True,template3
574.99,False,template3
569.61,False,template3
1030.13,True,template3
973.25,False,template3
1176.05,True,template3
